wE	aE	wRK	aRK
-0.028056	0.199799	-0.028055	0.199798
-0.028250	0.199797	-0.028250	0.199795
-0.028445	0.199794	-0.028445	0.199792
-0.028640	0.199791	-0.028640	0.199789
-0.028834	0.199788	-0.028834	0.199787
-0.029029	0.199785	-0.029029	0.199784
-0.029224	0.199782	-0.029224	0.199781
-0.029419	0.199779	-0.029418	0.199778
-0.029613	0.199776	-0.029613	0.199775
-0.029808	0.199773	-0.029808	0.199772
-0.030003	0.199770	-0.030002	0.199769
-0.030197	0.199767	-0.030197	0.199766
-0.030392	0.199764	-0.030392	0.199763
-0.030587	0.199761	-0.030586	0.199760
-0.030781	0.199758	-0.030781	0.199757
-0.030976	0.199755	-0.030976	0.199754
-0.031171	0.199752	-0.031170	0.199751
-0.031365	0.199749	-0.031365	0.199747
-0.031560	0.199746	-0.031560	0.199744
-0.031755	0.199743	-0.031754	0.199741
-0.031949	0.199740	-0.031949	0.199738
-0.032144	0.199736	-0.032144	0.199735
-0.032338	0.199733	-0.032338	0.199732
-0.032533	0.199730	-0.032533	0.199728
-0.032728	0.199727	-0.032727	0.199725
-0.032922	0.199723	-0.032922	0.199722
-0.033117	0.199720	-0.033117	0.199718
-0.033312	0.199717	-0.033311	0.199715
-0.033506	0.199713	-0.033506	0.199712
-0.033701	0.199710	-0.033701	0.199708
-0.033895	0.199707	-0.033895	0.199705
-0.034090	0.199703	-0.034090	0.199702
-0.034285	0.199700	-0.034284	0.199698
-0.034479	0.199697	-0.034479	0.199695
-0.034674	0.199693	-0.034674	0.199691
-0.034869	0.199690	-0.034868	0.199688
-0.035063	0.199686	-0.035063	0.199684
-0.035258	0.199683	-0.035257	0.199681
-0.035452	0.199679	-0.035452	0.199677
-0.035647	0.199676	-0.035647	0.199674
-0.035841	0.199672	-0.035841	0.199670
-0.036036	0.199668	-0.036036	0.199667
-0.036231	0.199665	-0.036230	0.199663
-0.036425	0.199661	-0.036425	0.199659
-0.036620	0.199658	-0.036619	0.199656
-0.036814	0.199654	-0.036814	0.199652
-0.037009	0.199650	-0.037009	0.199648
-0.037203	0.199646	-0.037203	0.199645
-0.037398	0.199643	-0.037398	0.199641
-0.037593	0.199639	-0.037592	0.199637
-0.037787	0.199635	-0.037787	0.199633
-0.037982	0.199631	-0.037981	0.199630
-0.038176	0.199628	-0.038176	0.199626
-0.038371	0.199624	-0.038370	0.199622
-0.038565	0.199620	-0.038565	0.199618
-0.038760	0.199616	-0.038759	0.199614
-0.038954	0.199612	-0.038954	0.199610
-0.039149	0.199608	-0.039148	0.199606
-0.039343	0.199604	-0.039343	0.199603
-0.039538	0.199601	-0.039537	0.199599
-0.039732	0.199597	-0.039732	0.199595
-0.039927	0.199593	-0.039926	0.199591
-0.040121	0.199589	-0.040121	0.199587
-0.040316	0.199585	-0.040315	0.199583
-0.040510	0.199581	-0.040510	0.199579
-0.040705	0.199577	-0.040704	0.199574
-0.040899	0.199572	-0.040899	0.199570
-0.041094	0.199568	-0.041093	0.199566
-0.041288	0.199564	-0.041288	0.199562
-0.041483	0.199560	-0.041482	0.199558
-0.041677	0.199556	-0.041677	0.199554
-0.041872	0.199552	-0.041871	0.199550
-0.042066	0.199548	-0.042066	0.199546
-0.042261	0.199543	-0.042260	0.199541
-0.042455	0.199539	-0.042455	0.199537
-0.042650	0.199535	-0.042649	0.199533
-0.042844	0.199531	-0.042844	0.199529
-0.043038	0.199526	-0.043038	0.199524
-0.043233	0.199522	-0.043232	0.199520
-0.043427	0.199518	-0.043427	0.199516
-0.043622	0.199513	-0.043621	0.199511
-0.043816	0.199509	-0.043816	0.199507
-0.044011	0.199505	-0.044010	0.199502
-0.044205	0.199500	-0.044205	0.199498
-0.044399	0.199496	-0.044399	0.199494
-0.044594	0.199491	-0.044593	0.199489
-0.044788	0.199487	-0.044788	0.199485
-0.044983	0.199482	-0.044982	0.199480
-0.045177	0.199478	-0.045177	0.199476
-0.045371	0.199473	-0.045371	0.199471
-0.045566	0.199469	-0.045565	0.199467
-0.045760	0.199464	-0.045760	0.199462
-0.045955	0.199460	-0.045954	0.199457
-0.046149	0.199455	-0.046148	0.199453
-0.046343	0.199451	-0.046343	0.199448
-0.046538	0.199446	-0.046537	0.199444
-0.046732	0.199441	-0.046732	0.199439
-0.046926	0.199437	-0.046926	0.199434
-0.047121	0.199432	-0.047120	0.199430
-0.047315	0.199427	-0.047315	0.199425
-0.047509	0.199422	-0.047509	0.199420
